# 符號與點字輸入對照表
# 說明：
#    1.以'#'為行首者為註釋，該行將不會被視為對照表
#    2.對照表目前以 200 個為限，超過者將會被忽略
#    3.所對應之欄位及其規則如下：
#      符號(必須 2bytes) 點字(必須 2-5 bytes)
#    4. 符號與點字碼之間，以一個半形控格分隔。

# 注音符號
ㄅ #o
ㄆ #p
ㄇ #m
ㄈ #q
ㄉ #d
ㄊ #f
ㄋ #n
ㄌ #c
ㄍ #k
ㄎ #l
ㄏ #r
ㄐ #K
ㄑ #J
ㄒ #E
ㄓ #a
ㄔ #b
ㄕ #i
ㄖ #g
ㄗ #h
ㄘ #j
ㄙ #e
ㄚ #>
ㄛ #<
ㄜ #!
ㄝ #5
ㄞ #w
ㄟ #0
ㄠ #%
ㄡ #(
ㄢ #v
ㄣ #u
ㄤ #x
ㄥ #z
ㄦ #:
ㄧ #*
ㄨ #/
ㄩ #|
ˇ #`
ˊ #1
ˋ #"
˙ #A

# 數學符號對照表：
α .a
β .b
γ .g
δ .d
ε .e
ζ .z
η .:
θ .?
ι .i
κ .k
λ .l
μ .m
ν .n
ξ .x
ο .o
ρ .r
σ .s
τ .t
υ .u
φ .f
χ .&
ψ .y
ω .w
Σ .,s
π .p
× `*
÷ ./
∪ .+
∩ .%
＆ _&
≠ /.k
⊥ $p
√ >}
△ $t
± +-
∠ $%
∥ $l
▽ .$
∵ `/
∴ ,*
↑ $<33o
↓ $%33o
← ${33
→ $33o
≡ `:.k
≧ .1:
≦ "k:
